###################################### udx :  508 76 77,,,
###################################### udx :  6.597402597402597,,,
10 , 268 , 282 , 1
11 , 272 , 216 , 4
11 , 272 , 297 , 0
11 , 273 , 245 , 1
11 , 273 , 272 , 0
12 , 277 , 288 , 4
12 , 278 , 232 , 1
12 , 279 , 260 , 1
13 , 283 , 275 , 4
13 , 284 , 222 , 1
13 , 284 , 250 , 0
14 , 288 , 266 , 4
14 , 290 , 238 , 2
15 , 294 , 199 , 4
15 , 294 , 227 , 0
16 , 299 , 244 , 5
17 , 369 , 467 , 70
18 , 434 , 73 , 65
19 , 445 , 76 , 11
20 , 493 , 72 , 48
######################################
######################################
###################################### udx :  234 79 80
###################################### udx :  2.925
1 , 183 , 256 , 5
1 , 185 , 282 , 2
2 , 190 , 243 , 5
2 , 190 , 271 , 0
3 , 194 , 287 , 4
3 , 195 , 234 , 1
3 , 196 , 260 , 1
4 , 200 , 249 , 4
4 , 200 , 277 , 0
4 , 201 , 221 , 1
5 , 206 , 212 , 5
5 , 206 , 238 , 0
5 , 206 , 266 , 0
5 , 208 , 293 , 2
6 , 211 , 255 , 3
6 , 212 , 199 , 1
6 , 212 , 228 , 0
6 , 213 , 282 , 1
7 , 216 , 244 , 3
7 , 217 , 189 , 1
7 , 217 , 216 , 0
7 , 217 , 271 , 0
7 , 219 , 299 , 2
8 , 222 , 205 , 3
8 , 222 , 288 , 0
8 , 223 , 233 , 1
8 , 223 , 260 , 0
9 , 227 , 194 , 4
9 , 228 , 221 , 1
9 , 228 , 249 , 0
9 , 228 , 276 , 0
9 , 230 , 304 , 2
10 , 233 , 266 , 3
10 , 234 , 211 , 1
10 , 234 , 238 , 0
10 , 234 , 294 , 0
11 , 239 , 226 , 5
11 , 239 , 255 , 0
11 , 239 , 281 , 0
11 , 239 , 309 , 0
11 , 240 , 200 , 1
12 , 244 , 244 , 4
12 , 245 , 216 , 1
12 , 245 , 271 , 0
12 , 245 , 298 , 0
13 , 249 , 205 , 4
13 , 250 , 232 , 1
13 , 250 , 288 , 0
13 , 251 , 260 , 1
13 , 252 , 315 , 1
14 , 255 , 277 , 3
14 , 256 , 222 , 1
14 , 257 , 249 , 1
14 , 257 , 304 , 0
