ii, x  , y,,,,,,,,,,,,
28,213,374,,,,,,,,,,,,
29,215,330,,,,,,,,,,,,
30,215,344,,,,,,,,,,,,
31,227,421,,,,,,,,,,,,
32,227,436,,,,,,,,,,,,
33,228,330,,,,,,,,,,,,
34,228,360,,,,,,,,,,,,
35,228,375,,,,,,,,,,,,
36,229,388,,,,,,,,,,,,
37,229,405,,,,,,,,,,,,
38,229,450,,,,,,,,,,,,
39,230,343,,,,,,,,,,,,
40,242,360,,,,,,,,,,,,
41,242,389,,,,,,,,,,,,
42,242,420,,,,,,,,,,,,
43,242,435,,,,,,,,,,,,
44,242,449,,,,,,,,,,,,
45,243,403,,,,,,,,,,,,
46,244,329,,,,,,,,,,,,
47,244,343,,,,,,,,,,,,
48,244,372,,,,,,,,,,,,
49,257,329,,,,,,,,,,,,
50,257,357,,,,,,,,,,,,
51,257,373,,,,,,,,,,,,
52,257,388,,,,,,,,,,,,
53,257,417,,,,,,,,,,,,
54,259,342,,,,,,,,,,,,
55,259,401,,,,,,,,,,,,
56,259,432,,,,,,,,,,,,
57,259,448,,,,,,,,,,,,
58,271,343,,,,,,,,,,,,
59,271,358,,,,,,,,,,,,
60,271,371,,,,,,,,,,,,
61,271,388,,,,,,,,,,,,
62,271,418,,,,,,,,,,,,
63,272,433,,,,,,,,,,,,
64,273,328,,,,,,,,,,,,
65,273,401,,,,,,,,,,,,
66,285,328,,,,,,,,,,,,
67,285,343,,,,,,,,,,,,
68,285,372,,,,,,,,,,,,
69,286,400,,,,,,,,,,,,
70,286,432,,,,,,,,,,,,
71,287,357,,,,,,,,,,,,
72,288,387,,,,,,,,,,,,
73,288,417,,,,,,,,,,,,
74,299,343,,,,,,,,,,,,
75,299,372,,,,,,,,,,,,
76,300,355,,,,,,,,,,,,
77,300,384,,,,,,,,,,,,
78,300,401,,,,,,,,,,,,
79,300,414,,,,,,,,,,,,
80,301,432,,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
0,21,274,,,,,,,,,,,,
1,40,282,19,8,,,,,,,,,,
2,44,359,4,77,,,,,,,,,,
3,53,282,9,-77,,,,,,,,,,
4,65,251,12,-31,,,,,,,,,,
5,79,279,14,28,,,,,,,,,,
6,90,249,11,-30,,,,,,,,,,
7,116,300,26,51,,,,,,,,,,
8,183,406,67,106,,,,,,,,,,
9,183,424,0,18,,,,,,,,,,
10,184,345,1,-79,,,,,,,,,,
11,184,362,0,17,,,,,,,,,,
12,184,375,0,13,,,,,,,,,,
13,184,393,0,18,,,,,,,,,,
14,196,439,12,46,,,,,,,,,,
15,197,377,1,-62,,,,,,,,,,
16,197,407,0,30,,,,,,,,,,
17,198,331,1,-76,,,,,,,,,,
18,198,347,0,16,,,,,,,,,,
19,198,361,0,14,,,,,,,,,,
